empresa_id,plano_conta_nivel_03,codigo_plano_04,conta_contabil
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.002 - OFFICE 365,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.029 - ORANGE TESTING,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.021 - PIPERUN / ODIG SOLUCOES,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.030 - PLAUD.AI,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.003 - RD STATION MKT/CRM,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.007 - SCOPI,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.015 - SIMPLES CLIQUE (CENTRAL TELEFONICA),81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.028 - SOLIDES TECNOLOGIA S/A,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.033 - SPEEDIO,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.037 - LEMIT TECNOLOGIA DA INFORMACAO,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.035 - CNPJA TECNOLOGIA,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.036 - TREND SERVICOS E SOLUCOES DIGITAIS,81706
401,2.07.020 - LICENCA DE SOFTWARE,2.07.020.032 - VIROMA TECNOLOGIA,81706
401,2.07.024 - DESP.ANTECIPADA,2.07.024.001 - DESP.ANTECIPADA LICENCA SCRIPTCASE,81706
401,2.10.001 - CAJU ADIANTAMENTO,2.10.001.001 - CAJU ADIANTAMENTO ADMINISTRATIVO,81710
401,2.10.001 - CAJU ADIANTAMENTO,2.10.001.002 - CAJU ADIANTAMENTO COMERCIAL,81710
401,2.10.001 - CAJU ADIANTAMENTO,2.10.001.007 - CAJU ADIANTAMENTO DIRETORIA,81710
401,2.10.001 - CAJU ADIANTAMENTO,2.10.001.003 - CAJU ADIANTAMENTO SUCESSO DO CLIENTE,81710
401,2.10.001 - CAJU ADIANTAMENTO,2.10.003.003 - CAJU PREMIO SUCESSO DO CLIENTE,81710
401,2.10.002 - CAJU ANIVERSARIO,2.10.002.001 - CAJU ANIVERSARIO ADMINISTRATIVO,81710
401,2.10.002 - CAJU ANIVERSARIO,2.10.002.002 - CAJU ANIVERSARIO COMERCIAL,81710
401,2.10.002 - CAJU ANIVERSARIO,2.10.002.004 - CAJU ANIVERSARIO DESENVOLVIMENTO,81710
401,2.10.002 - CAJU ANIVERSARIO,2.10.002.003 - CAJU ANIVERSARIO SUCESSO DO CLIENTE,81710
401,2.10.003 - CAJU PREMIO,2.10.003.001 - CAJU PREMIO ADMINISTRATIVO,81710
401,2.10.003 - CAJU PREMIO,2.10.003.002 - CAJU PREMIO COMERCIAL,81710
401,2.10.003 - CAJU PREMIO,2.10.003.004 - CAJU PREMIO DESENVOLVIMENTO,81710
401,2.10.004 - CAJU VR,2.10.004.001 - CAJU VR ADMINISTRATIVO,81710
401,2.10.004 - CAJU VR,2.10.004.002 - CAJU VR COMERCIAL,81710
401,2.10.004 - CAJU VR,2.10.004.004 - CAJU VR DESENVOLVIMENTO,81710
401,2.10.004 - CAJU VR,2.10.004.006 - CAJU VR MARKETING,81710
401,2.10.004 - CAJU VR,2.10.004.005 - CAJU VR OPERACIONAL,81710
401,2.10.004 - CAJU VR,2.10.004.003 - CAJU VR SUCESSO DO CLIENTE,81710
401,2.07.022 - SERVICOS OPERACIONAIS,2.07.022.012 - BSF - BENEFICIO SOCIAL FAMILIAR,81711
401,2.07.022 - SERVICOS OPERACIONAIS,2.07.022.010 - CERTIFICADOS SEMPRE SCD,81711
401,2.07.022 - SERVICOS OPERACIONAIS,2.07.022.003 - CORREIOS,81711
401,2.07.022 - SERVICOS OPERACIONAIS,2.07.022.001 - ESTACIONAMENTO,81711
401,2.07.022 - SERVICOS OPERACIONAIS,2.07.022.007 - MANUTENCAO E SERVICOS GERAIS,81711
401,2.07.022 - SERVICOS OPERACIONAIS,2.07.022.004 - SINDICATOS,81711
401,2.07.011 - MARKETING INSTITUCIONAL,2.07.011.003 - BRINDES,81713
401,2.07.011 - MARKETING INSTITUCIONAL,2.07.011.018 - BHBRAND - BRUNO THOME,81713
401,2.07.011 - MARKETING INSTITUCIONAL,2.07.011.015 - DIA DO CONTADOR,81713
401,2.07.011 - MARKETING INSTITUCIONAL,2.07.011.006 - ENDOMARKETING,81713
401,2.07.011 - MARKETING INSTITUCIONAL,2.07.011.017 - HUB CONTABIL,81713
401,2.07.011 - MARKETING INSTITUCIONAL,2.07.011.002 - PAPELARIA,81713
401,2.07.011 - MARKETING INSTITUCIONAL,2.07.011.004 - PRODUCAO DE VIDEO,81713
401,2.07.011 - MARKETING INSTITUCIONAL,2.07.011.001 - UNIFORME,81713
401,2.02.014 - PJ COMERCIAL,2.02.014.003 - PJ BENEDITO JUNIOR,81768
401,2.02.014 - PJ COMERCIAL,2.02.014.004 - NAO USAR - PJ HELIO ALVES,81768
401,2.02.014 - PJ COMERCIAL,2.02.014.005 - NAO USAR - PJ LEONARDO NASCIMENTO,81768
401,2.02.014 - PJ COMERCIAL,2.02.014.006 - PJ RIAN BERNAT,81768
401,2.02.014 - PJ COMERCIAL,2.02.014.007 - PJ GIULIANO MOTINHA,81768
401,2.02.019 - PJ DUDX,2.02.019.001 - PJ DUDX,81770
401,5.01.008 - MATRIZ - AQUISICAO REFORMAS EM BENS DE TERCEIROS,5.01.008.003 - MATRIZ - MARCENEIRO BENS DE TERCEIRO,81771
401,2.05.001 - PUBLICIDADE E PROPAGANDA OFF LINE,2.05.001.003 - PATROCINIOAPOIO,81772
401,2.05.001 - PUBLICIDADE E PROPAGANDA OFF LINE,2.05.001.001 - RADIO,81772
